FAMI_ESTRATOVIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENESERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENEAUTOMOVIL;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONINTERNET;COLE_BILINGUE;COLE_JORNADA;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PUNT_INGLES;PUNT_GLOBAL;CALIFICACION
4;1;1;1;1;1;1;2;1;3;1;1;79;83;74;82;100;405;0
3;1;1;1;1;1;1;3;1;3;0;1;71;76;70;81;83;376;0
4;1;1;1;1;1;1;1;1;2;0;1;61;62;65;65;54;313;0
2;1;1;1;1;0;0;1;1;1;0;1;68;70;70;73;64;349;0
3;1;1;1;1;1;0;2;2;1;0;1;63;67;54;64;64;311;0
3;0;0;1;1;0;0;3;1;2;0;1;73;69;71;80;78;368;0
1;1;0;1;1;1;0;0;0;3;0;5;70;64;70;68;76;343;0
5;1;1;1;1;1;1;2;2;2;0;5;59;70;64;60;73;320;0
2;1;0;0;1;0;0;0;1;3;0;4;38;47;40;47;41;214;2
4;1;0;1;1;1;1;0;1;3;0;1;58;64;53;31;54;258;0
3;1;1;1;1;0;0;2;1;1;0;1;57;59;52;51;47;271;0
1;1;1;1;1;1;0;2;1;2;0;1;64;68;62;68;64;327;0
5;1;1;1;1;1;0;3;1;2;1;5;71;62;60;61;77;323;0
5;1;1;1;1;1;1;2;1;3;1;5;66;61;58;55;80;308;0
4;1;1;1;1;1;1;3;0;2;1;5;74;69;66;65;85;349;0
6;1;1;1;1;1;1;3;1;2;1;5;62;55;38;47;78;263;0
6;1;1;1;1;1;1;2;2;2;1;5;50;48;51;36;68;240;2
6;0;0;1;0;1;0;3;2;4;0;3;34;28;39;35;38;172;2
4;1;0;1;1;1;0;3;1;2;1;5;65;70;65;61;80;332;0
5;1;1;1;1;1;0;2;0;1;0;5;67;58;59;61;82;314;0
4;1;1;1;1;0;1;2;0;2;0;5;73;71;71;66;77;354;0
4;1;1;1;1;1;1;2;1;2;0;5;72;62;62;57;75;321;0
4;1;1;1;1;1;1;2;1;1;0;5;66;59;60;66;81;321;0
3;1;1;1;1;1;1;2;0;2;0;5;63;62;56;70;76;319;0
3;1;1;1;0;1;0;1;1;2;0;1;59;66;59;50;50;289;0
3;1;1;1;1;1;0;2;1;3;0;1;64;51;52;58;48;278;0
3;1;1;1;1;1;0;0;1;3;0;1;60;58;57;52;54;283;0
2;1;1;1;0;1;0;0;1;0;0;1;65;68;65;64;73;330;0
2;1;1;1;1;1;1;2;1;3;0;1;59;44;38;58;48;248;2
2;1;1;1;1;1;1;0;1;2;0;1;58;66;45;53;70;283;0
5;1;1;1;1;1;1;3;1;2;1;5;68;70;60;63;82;333;0
3;1;1;1;1;1;1;3;1;3;1;5;67;70;66;68;80;343;0
5;1;1;1;1;1;1;0;1;1;1;5;63;79;76;70;100;371;0
4;1;1;1;1;1;1;2;1;2;0;5;62;50;61;50;59;280;0
5;1;1;1;1;1;0;3;0;3;1;5;74;73;72;70;83;365;0
4;1;1;1;1;0;1;0;1;3;0;5;61;34;51;45;53;241;2
4;1;1;1;1;1;0;2;2;2;1;5;71;69;64;67;79;343;0
6;1;1;1;1;1;1;3;2;2;1;5;61;67;61;69;80;328;0
5;1;1;1;1;1;1;2;2;2;0;5;67;62;59;74;81;333;0
0;1;0;1;1;1;1;3;2;2;0;5;52;52;46;51;69;258;0
5;1;1;1;1;1;1;2;1;3;1;5;67;57;59;64;77;315;0
3;1;1;1;1;0;1;2;2;3;0;1;57;51;40;39;48;234;2
6;1;1;1;1;1;1;3;1;3;1;5;77;81;75;73;100;392;0
2;1;1;0;1;0;0;0;1;3;0;1;53;57;37;47;39;239;2
4;1;1;1;1;1;0;1;1;2;0;1;57;56;63;65;64;303;0
5;1;1;1;1;1;1;2;1;2;1;1;73;100;100;75;87;435;0
0;1;1;0;0;0;0;0;2;1;0;4;53;60;55;49;58;273;0
6;1;1;1;1;1;1;2;1;2;0;5;67;78;68;75;73;360;0
6;1;1;1;1;1;1;3;2;2;1;5;71;83;74;67;82;372;0
3;1;1;1;1;1;1;1;0;2;1;5;68;81;70;66;80;360;0
5;1;1;1;1;1;1;1;1;1;0;5;71;77;72;77;85;375;0
4;1;1;1;1;1;1;2;1;2;1;5;72;68;70;64;79;347;0
5;1;1;1;1;1;1;2;2;3;0;5;49;46;34;38;77;222;2
5;1;1;1;1;1;1;2;2;1;1;5;74;64;63;67;78;339;0
4;1;1;1;1;1;0;3;1;3;1;5;69;67;68;64;80;340;0
6;1;1;1;1;1;1;3;1;2;1;5;72;77;68;70;83;363;0
3;1;1;1;1;1;0;1;2;2;0;1;72;64;58;67;69;328;0
6;1;1;1;1;1;1;2;2;2;1;5;60;56;49;55;74;282;0
5;1;1;1;1;1;0;1;2;2;0;5;64;65;59;66;79;323;0
5;1;1;1;1;1;1;3;1;3;0;5;67;58;63;58;80;315;0
3;1;1;1;1;0;1;3;1;3;0;5;58;60;58;64;79;307;0
3;1;1;1;1;1;1;3;1;2;1;5;76;79;67;77;81;376;0
4;1;1;1;1;1;1;2;2;2;0;4;61;47;38;50;75;255;0
4;1;1;1;1;1;1;2;1;1;1;5;59;54;54;53;68;280;0
5;1;1;1;1;1;1;1;2;2;1;5;57;65;54;44;72;282;0
4;1;1;1;1;1;1;2;2;2;0;5;44;64;48;42;74;257;0
5;1;1;1;1;1;1;3;0;2;1;5;68;75;72;74;86;367;0
4;1;1;1;1;1;1;1;2;3;0;1;60;61;53;53;70;289;0
4;1;1;1;1;1;0;2;1;1;0;1;66;59;62;65;68;317;0
5;1;1;1;1;1;0;2;0;1;0;5;66;60;63;58;78;315;0
5;1;1;1;1;1;1;2;1;3;1;5;64;66;56;64;80;319;0
5;1;1;1;1;1;1;2;1;2;1;5;72;78;74;76;86;379;0
5;1;1;1;1;1;1;2;1;2;1;5;61;66;59;61;76;314;0
1;0;0;0;1;0;0;0;2;1;0;3;41;34;30;36;29;174;2
6;1;0;1;1;1;0;1;0;2;0;5;53;58;52;52;64;273;0
2;1;1;1;1;1;0;2;1;2;0;1;50;44;47;31;42;215;2
5;1;1;1;1;1;1;3;1;0;0;1;75;70;75;68;81;363;0
2;1;1;0;0;0;0;0;0;0;0;3;50;36;46;48;33;220;2
3;1;1;1;0;0;0;1;0;3;0;3;65;50;34;50;63;254;0
3;1;1;1;0;1;0;1;2;2;0;1;62;65;55;61;53;301;0
4;1;1;1;1;1;1;2;0;3;0;1;79;79;80;77;86;397;0
3;0;0;1;0;0;0;0;1;2;0;1;73;73;70;65;70;351;0
0;1;1;1;0;0;0;3;1;3;0;4;43;43;42;37;45;208;2
0;1;1;0;0;0;1;0;0;2;0;3;58;55;55;45;61;269;0
5;1;1;1;1;1;1;3;1;3;1;1;100;79;75;77;100;420;0
5;1;1;1;1;1;1;2;1;3;0;1;36;29;41;37;40;180;2
6;1;0;1;1;1;1;3;1;3;1;1;64;64;63;62;79;322;0
